theta1,theta2,thetaPunto1,thetaPunto2
-0.696661,-0.121426,1.88396,-0.38113
-0.677337,-0.12565,1.98102,-0.464076
-0.657042,-0.130712,2.0779,-0.548771
-0.635781,-0.136629,2.17445,-0.634946
-0.613556,-0.143413,2.27047,-0.722227
-0.590376,-0.151074,2.36567,-0.810116
-0.566248,-0.159614,2.45968,-0.897965
-0.541188,-0.169029,2.55201,-0.984948
-0.515216,-0.179306,2.64204,-1.07004
-0.488358,-0.190419,2.72901,-1.15197
-0.460649,-0.20233,2.81199,-1.22925
-0.432135,-0.214984,2.88987,-1.30009
-0.402872,-0.228305,2.96139,-1.3625
-0.372932,-0.2422,3.02515,-1.41428
-0.342398,-0.25655,3.07971,-1.45315
-0.311372,-0.271215,3.12366,-1.4769
-0.279964,-0.286032,3.15576,-1.48357
-0.248299,-0.300825,3.17511,-1.47171
-0.216506,-0.315402,3.18124,-1.44052
-0.184719,-0.329569,3.17424,-1.39004
-0.153064,-0.343139,3.15471,-1.32108
-0.121664,-0.355933,3.12372,-1.23518
-0.0906244,-0.367791,3.08266,-1.13442
-0.0600394,-0.378578,3.0331,-1.02115
-0.0299857,-0.38818,2.97661,-0.89781
-0.000525162,-0.396508,2.91467,-0.766716
0.0282943,-0.403496,2.84856,-0.629968
0.0564365,-0.409096,2.77935,-0.489374
0.0838747,-0.413277,2.70788,-0.346438
0.11059,-0.416022,2.63478,-0.202374
0.136568,-0.417325,2.5605,-0.0581375
0.161798,-0.417188,2.48533,0.0855322
0.186273,-0.41562,2.40945,0.228076
0.209986,-0.412633,2.33293,0.369079
0.23293,-0.408245,2.25578,0.508237
0.2551,-0.402476,2.17795,0.645333
0.276487,-0.395347,2.09936,0.780218
0.297085,-0.38688,2.01991,0.912794
0.316883,-0.377099,1.93948,1.043
0.335871,-0.366028,1.85796,1.17082
0.354038,-0.353691,1.77522,1.29624
0.371371,-0.340112,1.69114,1.41929
0.387856,-0.325313,1.60563,1.53999
0.403479,-0.309319,1.51858,1.65841
0.418223,-0.292153,1.42991,1.77459
0.432071,-0.273835,1.33956,1.88861
0.445008,-0.254387,1.24747,2.00056
0.457015,-0.233831,1.15362,2.11052
0.468075,-0.212184,1.05798,2.21859
0.478169,-0.189465,0.960568,2.32486
0.487281,-0.165693,0.861415,2.42942
0.495392,-0.140883,0.760573,2.53236
0.502487,-0.115051,0.658128,2.63376
0.50855,-0.0882135,0.554196,2.73367
0.513567,-0.0603839,0.448929,2.83213
0.517526,-0.0315771,0.342525,2.92911
0.520416,-0.0018082,0.235231,3.02455
0.52223,0.0289069,0.127357,3.11831
0.522963,0.0605503,0.019284,3.21017
0.522617,0.0931015,-0.0885175,3.29979
0.521196,0.126536,-0.195475,3.3867
0.518713,0.160823,-0.300895,3.47024
0.515186,0.195926,-0.403947,3.5496
0.510645,0.231798,-0.503644,3.62372
0.505128,0.268379,-0.59884,3.69134
0.498687,0.305599,-0.688235,3.75094
0.491386,0.343367,-0.770398,3.80083
0.483307,0.381578,-0.843831,3.83921
0.474543,0.420108,-0.907059,3.86427
0.465203,0.458815,-0.958767,3.87438
0.455409,0.497542,-0.997948,3.86828
0.445288,0.536124,-1.02405,3.84528
0.434973,0.57439,-1.03706,3.80539
0.42459,0.612176,-1.03759,3.74934
0.41426,0.649326,-1.02674,3.67854
0.40409,0.685703,-1.00603,3.59488
0.394168,0.721187,-0.977227,3.50055
0.384567,0.755685,-0.942148,3.39781
0.37534,0.789123,-0.902546,3.28877
0.366525,0.821447,-0.86,3.17535
0.358144,0.852622,-0.815867,3.05915
0.350208,0.882626,-0.771262,2.94146
0.342716,0.911451,-0.727071,2.8233
0.335662,0.939095,-0.683971,2.7054
0.32903,0.965564,-0.642466,2.58831
0.322804,0.990867,-0.602912,2.47237
0.316963,1.01502,-0.56555,2.35783
0.311484,1.03803,-0.530531,2.24479
0.306343,1.05992,-0.497934,2.13331
0.301516,1.0807,-0.467784,2.0234
0.296978,1.10039,-0.440067,1.91499
0.292705,1.11901,-0.414737,1.80804
0.288675,1.13656,-0.391728,1.70245
0.284863,1.15306,-0.370953,1.59814
0.281248,1.16853,-0.352318,1.49501
0.277809,1.18297,-0.335716,1.39296
0.274526,1.19639,-0.321035,1.29189
0.271381,1.20881,-0.308159,1.19172
0.268357,1.22023,-0.296968,1.09236
0.265436,1.23066,-0.28734,0.99372
0.262605,1.24011,-0.279152,0.895723
0.259848,1.24858,-0.272278,0.798295
0.257155,1.25607,-0.266594,0.701367
0.254512,1.26261,-0.261973,0.604875
0.251911,1.26817,-0.25829,0.508758
0.249343,1.27278,-0.255417,0.41296
0.2468,1.27643,-0.253229,0.317428
0.244276,1.27913,-0.2516,0.222113
0.241767,1.28088,-0.250402,0.126968
0.239267,1.28167,-0.249511,0.0319501
0.236775,1.28152,-0.248799,-0.0629835
0.23429,1.28041,-0.248142,-0.157872
0.231812,1.27836,-0.247414,-0.252754
0.229342,1.27536,-0.24649,-0.347665
0.226883,1.27141,-0.245245,-0.442643
0.224439,1.2665,-0.243557,-0.537721
0.222014,1.26065,-0.2413,-0.632935
0.219615,1.25384,-0.238354,-0.72832
0.217249,1.24608,-0.234597,-0.823909
0.214925,1.23737,-0.229907,-0.919738
0.212654,1.22769,-0.224168,-1.01584
0.210445,1.21705,-0.217261,-1.11226
0.208312,1.20544,-0.209071,-1.20902
0.206268,1.19287,-0.199485,-1.30618
0.204327,1.17932,-0.188395,-1.40376
0.202505,1.16479,-0.175692,-1.5018
0.200818,1.14928,-0.161274,-1.60036
0.199285,1.13278,-0.145043,-1.69947
0.197923,1.11529,-0.126907,-1.79917
0.196753,1.0968,-0.10678,-1.89951
0.195794,1.0773,-0.084585,-2.00053
0.195067,1.05678,-0.0602528,-2.10226
0.194595,1.03525,-0.0337273,-2.20474
0.194399,1.01269,-0.00496594,-2.308
0.194502,0.989089,0.0260569,-2.41205
0.194926,0.964445,0.0593464,-2.5169
0.195695,0.93875,0.0948829,-2.62253
0.19683,0.911994,0.132617,-2.72889
0.198353,0.884171,0.17246,-2.83591
0.200284,0.855276,0.214283,-2.94347
0.202643,0.825302,0.257898,-3.05139
0.205446,0.794249,0.303053,-3.15941
0.208706,0.762117,0.349416,-3.26719
0.212435,0.72891,0.39656,-3.37428
0.216637,0.694637,0.443941,-3.48007
0.221312,0.659316,0.490884,-3.58382
0.22645,0.622972,0.536554,-3.68455
0.232035,0.58564,0.579944,-3.78109
0.238038,0.547369,0.619856,-3.87203
0.244417,0.508223,0.654899,-3.95569
0.251115,0.468284,0.683507,-4.0302
0.258061,0.427655,0.703985,-4.09349
0.265164,0.386457,0.7146,-4.14347
0.272316,0.344835,0.713708,-4.17815
0.279396,0.30295,0.699924,-4.19587
0.286269,0.260977,0.672296,-4.19554
0.292794,0.219101,0.63045,-4.17677
0.29883,0.177503,0.574667,-4.14002
0.304242,0.136358,0.505867,-4.08652
0.308907,0.0958242,0.425495,-4.01812
0.312718,0.0560393,0.335345,-3.93706
0.315587,0.017118,0.237369,-3.84573
0.317445,-0.0208486,0.133504,-3.74643
0.318243,-0.0577914,0.0255396,-3.64122
0.317948,-0.09366,-0.0849545,-3.53184
0.316541,-0.12842,-0.19666,-3.41967
0.314015,-0.162049,-0.308507,-3.30576
0.310374,-0.194533,-0.419653,-3.19086
0.305628,-0.225866,-0.529446,-3.07546
0.299792,-0.256043,-0.637397,-2.95989
0.292888,-0.285065,-0.743142,-2.8443
0.284938,-0.31293,-0.846419,-2.72874
0.275969,-0.33964,-0.94704,-2.6132
0.266007,-0.365195,-1.04488,-2.4976
0.255081,-0.389592,-1.13985,-2.38184
0.24322,-0.412831,-1.23191,-2.26582
0.230453,-0.434907,-1.32102,-2.14942
